id,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,label
230,-0.5634,-0.1464,-0.0024,0.1318,0.5146,0.561,0.7268,0.661,0.4244,0.2976,0.3292,12
231,-0.6314,-0.2174,0.0124,0.147,0.5258,0.5508,0.675,0.5942,0.3996,0.263,0.3416,12
232,-0.5654,-0.0556,0.0298,0.2704,0.4282,0.5654,0.3014,0.3712,0.1228,0.1022,0.0816,13
233,-0.5564,-0.014,-0.0516,0.2652,0.2958,0.5,0.317,0.223,-0.0188,0.0846,-0.1338,13
234,-0.4936,-0.0218,0.2682,0.4224,0.3578,0.4154,0.3486,0.298,0.1484,0.0104,-0.2106,14
235,-0.5882,-0.148,0.1054,0.264,0.4486,0.4792,0.2426,0.2378,0.0912,0.0414,-0.103,14
236,-0.585,0.014,0.0764,0.3166,0.8066,0.975,0.816,0.819,0.7754,0.844,1,15
237,-0.431,0.0586,0.3208,0.4848,0.9742,1,0.8314,0.7752,0.9976,0.815,0.6768,15
238,-0.4844,0.2222,0.1866,0.2888,0.2222,-0.3022,-0.3866,-0.3288,-0.5112,-0.4266,-0.3556,16
239,-0.6142,0.0788,0.0734,-0.0462,-0.0408,-0.375,-0.394,-0.549,-0.5952,-0.5896,-0.6278,16
240,-0.484,0.1804,0.1506,0.2558,0.1736,-0.2694,-0.3768,-0.3858,-0.4932,-0.331,-0.4292,17
241,-0.548,0.1328,0.1432,0.0592,0.0618,-0.1616,-0.1406,-0.4848,-0.4902,-0.3298,-0.3246,17
242,-0.6656,-0.2284,-0.0842,0.0492,0.53,0.6306,1,0.9826,0.906,0.8558,0.6962,18
243,-0.6038,-0.1452,0,0.1204,0.5228,0.581,1,0.9378,0.9544,0.7988,0.7966,18
244,-0.5532,-0.1012,-0.0234,0.1948,0.413,0.6,0.5584,0.465,0.3454,0.3298,0.2416,19
245,-0.7288,-0.3422,-0.1334,0.0088,0.3688,0.4444,0.5822,0.5512,0.2178,0.1734,0.2934,19
246,-0.552,0.1332,0.1332,-0.0044,0.0102,-0.306,-0.2942,-0.5462,-0.4904,-0.5578,-0.5314,20
247,-0.626,0.1126,0.1378,0.0174,-0.0142,-0.3852,-0.3248,-0.4516,-0.4896,-0.6926,-0.5722,20
248,-0.4156,0.0572,0.1278,0.2512,-0.2218,-0.6828,-0.5536,-0.5418,-0.4626,-0.6212,-0.6328,21
249,-0.4158,0.0666,-0.1346,-0.0254,-0.5854,-0.7964,-0.9904,-0.92,-0.7478,-0.7696,-0.8546,21
250,-0.4548,0.1042,0.3534,0.5232,0.1232,-0.6658,-0.4082,-0.452,-0.3918,-0.578,-0.4164,22
251,-0.4528,0.1218,0.0698,0.2694,-0.0588,-0.4692,-0.4994,-0.5158,-0.3188,-0.3406,-0.4582,22
252,-0.4914,0.1386,0.0854,0.3168,0.1726,-0.3092,-0.5028,-0.313,-0.4914,-0.3928,-0.6242,23
253,-0.4188,0.3056,0.4364,0.849,0.6806,0.3408,0.1422,0.3032,0.2352,0.4138,0.5598,23
254,-0.9562,-0.5256,-0.2408,-0.1898,0.2628,0.5766,0.4964,0.051,0.0146,0.0072,0,24
255,-0.757,-0.2872,-0.2762,-0.0498,0.3536,0.4752,0.4806,0.464,0.127,0.1382,0.1104,24
256,-0.3978,0.0822,0.9336,1,0.3846,0.7852,0.9072,0.3104,0.2414,-0.1486,-0.4032,25
257,-0.361,0.2412,0.9268,1,0.1048,0.3778,0.4642,-0.238,-0.4442,-0.4842,-0.6938,25
258,-0.2614,0.3352,0.304,0.5568,0.3324,-0.2982,-0.5056,-0.412,-0.0624,-0.0852,-0.1676,26
259,-0.3512,0.277,0.2622,0.4844,0.2712,-0.3926,-0.4162,-0.3274,-0.286,-0.283,-0.2386,26
260,-0.3018,-0.005,0.4672,0.7876,0.8752,0.5414,0.3456,0.0994,-0.0624,-0.1264,-0.1366,1
261,-0.2136,0.0642,0.624,1,0.9786,0.641,0.1624,0.0642,-0.1452,-0.3034,-0.4102,1
262,0.0328,0.472,1,0.8598,-0.458,-0.5374,-0.715,-0.6588,-0.6122,-0.8412,-0.8552,2
263,0.0524,0.4936,1,0.9168,-0.472,-0.3744,-0.4792,-0.5914,-0.7252,-0.8734,-0.9746,2
264,-0.1086,0.388,0.6674,0.6762,-0.3836,-0.6718,-0.6852,-0.7074,-0.6542,-0.7428,-0.9646,3
265,-0.0488,0.4488,1,0.9318,-0.3854,-0.356,-0.5512,-0.961,-0.5804,-0.7074,-0.9074,3
266,0.1038,0.7218,0.9602,1,-0.0994,-0.4702,-0.6248,-0.713,-0.8234,-0.9072,-0.872,4
267,0.096,0.4732,1,0.974,-0.535,-0.5186,-0.587,-0.8374,-0.8308,-0.8472,-0.9252,4
268,0.0278,0.5712,0.5674,0.5342,-0.1202,-0.4232,-0.9446,-0.6156,-0.6156,-0.7264,-0.7856,5
269,0.1764,0.5458,0.938,0.8104,-0.6732,-0.7222,-0.745,-0.719,-0.768,-0.9738,-0.7352,5
270,-0.2916,-0.0406,0.2694,0.4464,0.9704,1,0.5202,0.0332,-0.0406,-0.203,-0.3948,6
271,-0.324,0.0634,0.486,0.5986,0.7324,1,0.7184,0.0282,0.1268,-0.0986,-0.1268,6
272,-0.1848,0.036,0.2824,0.1592,0.0318,-0.4734,-0.741,-0.826,-0.9406,-0.809,-0.7538,7
273,-0.0876,0.2442,0.7282,0.6036,-0.2718,-0.47,-0.7096,-0.9262,-0.9862,-0.871,-0.894,7
274,-0.3442,-0.1256,0.3826,0.7486,0.7978,0.3224,0.1202,0.0382,-0.0164,-0.1804,-0.2186,8
275,-0.2796,0.1552,0.5714,1,0.9752,0.4224,-0.0932,-0.2796,-0.3602,-0.4162,-0.6708,8
276,-0.4574,-0.239,0.0136,0.0956,0.3448,0.5188,0.7782,0.9796,1,0.826,0.5392,9
277,-0.309,-0.0016,0.3388,0.19,0.4348,0.848,1,0.9834,0.7818,0.8842,0.7984,9
278,-0.1166,0.355,1,0.9242,0.935,-0.0082,-0.328,-0.5502,-0.6476,-0.6314,-0.6532,10
279,-0.2428,0.251,0.6872,1,0.9794,0.1976,-0.033,-0.2058,-0.539,-0.572,-0.5474,10
280,-0.1106,0.3682,0.8068,0.8752,0.9798,0.8028,0.5292,0.2516,0.167,-0.1188,-0.332,11
281,-0.1518,0.2978,0.72,0.8224,0.9448,0.7358,0.578,0.2624,0.077,-0.073,-0.3018,11
282,-0.3788,-0.1118,0.2732,0.3976,0.6584,1,0.823,0.3168,0.3478,0.2268,0.174,12
283,-0.2984,-0.0282,0.3772,0.4672,0.7974,1,0.6248,0.1594,0.1894,-0.167,-0.2232,12
284,-0.1536,0.2282,0.7386,0.6888,0.581,0.2034,-0.029,-0.3942,-0.4648,-0.581,-0.7966,13
285,-0.1134,0.2522,0.8698,0.7606,0.7942,0.3782,0.1554,-0.2478,-0.1302,-0.4706,-0.9874,13
286,-0.0902,0.2924,0.9516,0.8286,0.8814,0.2176,-0.0506,-0.0286,-0.6308,-0.6616,-0.6748,14
287,-0.0984,0.4344,1,0.7664,0.6352,0.3524,-0.0082,-0.209,-0.5574,-0.9672,-0.8278,14
288,-0.2524,0.1012,0.4732,0.5764,0.7864,1,0.7716,0.477,0.86,0.8232,0.7128,15
289,-0.3844,-0.0944,0.3462,0.5322,0.8768,1,0.6526,0.7292,0.7592,0.4364,0.0478,15
290,0.0634,0.7142,0.8678,1,0.3068,-0.545,-0.4762,-0.6138,-0.5768,-0.619,-0.6772,16
291,-0.1904,0.475,1,0.8878,-0.042,-0.3466,-0.6272,-0.5712,-0.6032,-0.8878,-0.7916,16
292,0.0138,0.6314,0.6452,0.8388,0.341,-0.493,-0.447,-0.6222,-0.4884,-0.599,-0.6268,17
293,0.0924,0.5678,0.941,1,-0.1474,-0.3596,-0.3438,-0.5442,-0.6738,-0.9646,-0.89,17
294,-0.3778,0.0154,0.2352,0.257,0.3622,0.678,0.743,0.873,1,0.8824,0.1702,18
295,-0.4492,-0.0198,0.2204,0.1978,0.8362,0.8786,0.8474,1,0.8644,0.565,0.0112,18
296,-0.3448,-0.0884,0.3676,0.5042,0.7038,1,0.7606,-0.0598,0.134,-0.02,-0.0826,19
297,-0.3676,-0.1452,0.3334,0.51,0.8632,1,0.527,0.0884,-0.037,-0.0142,-0.2022,19
298,0.0772,0.7518,0.6908,0.8782,0.185,-0.377,-0.5316,-0.6628,-0.6722,-0.6206,-0.6722,20
299,0.0794,0.5596,1,0.996,-0.254,-0.6468,-0.6388,-0.7698,-0.7064,-0.7896,-0.8016,20
300,0.2214,0.5246,1,0.8402,-0.6188,-0.7132,-0.5696,-0.6762,-0.7786,-0.8484,-0.9016,21
301,0.1286,0.7878,0.9322,0.7382,-0.5214,-0.6524,-0.8058,-0.851,-0.7878,-0.9052,-0.8466,21
302,-0.0174,0.3538,1,0.9606,-0.1528,-0.345,-0.3362,-0.8558,-0.703,-0.6724,-0.9564,22
303,0.042,0.373,1,0.8102,-0.139,-0.5982,-0.9028,-0.8454,-0.7528,-0.819,-0.8984,22
304,-0.1574,0.1844,0.6988,0.8984,1,0.9898,0.621,0.2082,0.1236,-0.3164,-0.4112,23
305,-0.1446,0.4968,1,0.7358,-0.2516,-0.9246,-0.629,-0.6478,-0.6856,-0.9622,-0.9434,23
306,-0.305,0,0.2712,0.3136,0.8306,0.8984,0.5932,0.2034,0.195,-0.0508,0.017,24
307,-0.3684,-0.0526,0.2712,0.5142,0.9758,1,0.6194,0.3198,0.0364,-0.1336,-0.1418,24
308,0.1286,0.5108,1,0.8572,0.6286,0.1822,0.2036,0.1178,-0.2108,-0.7464,-0.5358,25
309,0.2608,0.6464,1,0.8714,0.6822,0.2858,0.0536,0.0392,-0.1142,-0.6536,-0.7608,25
310,-0.074,0.4044,1,0.8696,-0.4696,-0.4522,-0.674,-0.7696,-0.8086,-0.8218,-0.8608,26
311,-0.0208,0.6984,0.9676,0.587,0.1832,0.0394,-0.6102,-0.3178,-0.8004,-0.638,-0.638,26
312,-0.4556,-0.1628,0.219,0.4112,0.6864,0.9526,0.7604,0.3492,0.0356,0.0356,0.0356,1
313,-0.324,0.0642,0.2626,0.3826,0.8044,0.7682,0.6062,0.3798,0.1592,0.1312,0.0614,1
314,-0.0922,0.5064,0.4978,0.9008,0.8212,0.3106,0.234,0.01,-0.0724,-0.0752,-0.149,2
315,-0.0936,0.399,0.7536,0.8916,0.5468,0.399,0.0592,-0.2512,-0.2758,-0.1084,-0.1674,2
316,-0.1152,0.4486,0.749,0.8888,0.7242,0.6832,0.2552,0.1194,0.033,0.0412,0.0824,3
317,-0.166,0.4092,0.7104,0.9498,0.776,0.6564,0.2934,0.197,0.0926,0.0734,0.1544,3
318,-0.0466,0.5904,0.7616,1,0.743,0.2142,-0.2402,-0.2142,-0.2402,-0.2998,-0.229,4
319,-0.0694,0.4336,0.8772,1,0.3702,0.2554,-0.1366,-0.2316,-0.1564,-0.2594,-0.3584,4
320,-0.2496,0.2234,0.615,0.7128,0.292,-0.2986,-0.4584,-0.54,-0.4128,-0.5562,-0.5498,5
321,-0.2366,0.2006,0.553,0.6836,0.3474,-0.266,-0.305,-0.3768,-0.5008,-0.5758,-0.527,5
322,-0.2608,0.2034,0.3696,0.5072,0.9828,0.9942,0.2492,0.083,0.1862,-0.0946,-0.129,6
323,-0.4086,-0.113,0.2058,0.5188,0.716,0.716,0.3566,0.1072,-0.0956,-0.055,-0.1304,6
324,0.0176,0.65,0.5858,0.756,0.6084,0.1012,0.0016,-0.0304,-0.2232,-0.1654,-0.1428,7
325,-0.1418,0.4018,0.5214,0.7504,0.535,0.0154,-0.2274,-0.1898,-0.224,-0.2718,-0.1146,7
326,-0.517,-0.2178,0.1286,0.433,0.5276,0.496,0.3544,0.391,0.1024,0.0708,0.1234,8
327,-0.3194,0.0722,0.2634,0.3986,0.8228,0.8554,0.5478,0.4732,0.3194,0.1656,0.2354,8
328,-0.4624,-0.2358,0.104,0.1014,0.357,0.6152,1,0.971,0.7496,0.8814,0.8182,9
329,-0.4126,-0.069,0.0866,0.1306,0.2776,0.627,0.8678,1,0.906,0.7092,0.7974,9
330,-0.1572,0.3312,0.5938,0.7924,0.7282,0.7222,0.1328,-0.0138,0.032,-0.0564,-0.0168,10
331,-0.1684,0.3196,0.5876,0.7492,0.646,0.653,0.0446,-0.0756,0.024,-0.103,-0.0584,10
332,-0.0656,0.5068,0.4586,0.6828,0.931,1,0.6518,0.5828,0.138,0.0656,-0.1138,11
333,-0.0648,0.472,0.557,0.6824,0.9194,0.8882,0.642,0.378,0.141,-0.047,-0.0872,11
334,-0.313,0.0028,0.3276,0.6638,0.8986,0.684,0.5334,0.2986,0.1188,0.1392,0.087,12
335,-0.3286,0.0708,0.3682,0.5014,0.915,0.8696,0.405,0.1614,0.1926,0.0992,-0.0028,12
336,-0.25,0.3396,0.287,0.2438,0.2438,0.2314,0.071,-0.0802,-0.3086,-0.4476,-0.4166,13
337,-0.5018,0.6574,0.7162,0.391,0.8166,0.7648,0.2388,0.128,-0.3738,-0.5364,-0.526,13
338,-0.3972,0.038,0.0458,0.0406,0.3736,0.3342,0.0354,-0.114,-0.1534,-0.308,-0.3682,14
339,-0.2488,0.2124,0.088,-0.07,0.417,0.4378,0.0932,0.0284,-0.259,-0.3704,-0.2902,14
340,-0.3508,-0.0886,0.2132,0.4558,0.6984,1,0.9278,0.3574,0.5278,0.8164,0.8722,15
341,-0.3074,0.0506,0.3736,0.6304,0.8832,0.9494,1,0.7082,0.9106,0.9728,0.6576,15
342,0.023,0.6666,0.6488,0.883,0.8372,0.4072,0.3894,0.0306,0.0128,-0.1374,-0.1246,16
343,-0.0574,0.5632,0.6168,0.9042,0.7012,0.6476,0.2568,0.1916,-0.157,-0.1724,-0.0268,16
344,0.1538,0.923,0.9076,0.8962,0.877,0.3884,0.323,0.2308,0.15,0.027,-0.0038,17
345,0.0018,0.6328,0.5972,0.6792,0.6114,0.148,0.066,-0.0696,-0.1444,-0.2478,-0.2906,17
346,-0.4552,-0.0622,0.1368,0.2712,0.6318,0.786,1,0.8806,0.6866,0.8482,0.816,18
347,-0.5054,-0.181,0.136,0.1858,0.4888,0.877,1,0.697,0.6876,0.8722,0.6946,18
348,-0.4202,-0.1498,0.2416,0.4686,0.6956,0.5024,0.3044,0.0676,-0.0386,-0.1112,-0.058,19
349,-0.4202,0.1302,0.4004,0.5676,0.7642,0.7642,0.3316,0.2628,-0.0122,-0.0466,-0.0024,19
350,-0.2704,0.6704,0.6616,0.912,0.8594,0.1912,0.156,-0.3098,-0.266,-0.3758,-0.3142,20
351,-0.1764,0.6274,0.6128,0.9068,0.7942,0.2206,0.1372,-0.1618,-0.2648,-0.3138,-0.3726,20
352,0.073,0.5548,0.329,0.2824,-0.4916,-0.6644,-0.701,-0.6544,-0.7342,-0.7542,-0.9602,21
353,0.0096,0.5048,0.4546,0.5048,-0.2302,-0.4352,-0.7794,-0.5358,-0.6982,-0.8104,-0.6674,21
354,-0.185,0.2258,0.6646,0.7618,0.583,0.4828,0.138,-0.1474,-0.0972,-0.0564,-0.1912,22
355,-0.1544,0.3088,0.7544,0.8596,0.6702,0.572,0.2,-0.0842,-0.1264,-0.0596,-0.1228,22
356,-0.096,0.472,0.808,1,0.832,0.84,0.136,0.056,0.024,-0.064,0.024,23
357,0.0178,0.4286,0.8392,0.6964,-0.3482,-0.5446,-0.7322,-0.759,-0.5268,-0.75,-0.9554,23
358,-0.3924,0.076,0.1836,0.405,0.962,1,0.595,0.3292,0.1836,0.076,0.1202,24
359,-0.34,0.0034,0.2938,0.3466,0.7954,0.7426,0.5314,0.2674,0.2542,0.142,0.0364,24
360,0.3948,0.727,1,0.9276,0.977,0.7994,0.4902,0.1974,-0.0624,-0.352,-0.3552,25
361,0.211,0.626,1,0.9794,0.5952,0.65,0.585,0.1836,-0.1836,-0.3654,-0.5404,25
362,-0.1522,0.4056,0.8056,1,0.6184,0.4606,-0.0348,-0.1376,0.0166,-0.178,-0.0752,26
363,-0.163,0.328,0.8586,0.9804,0.5638,0.3792,0.3438,0.1238,0.0176,-0.0256,-0.0726,26
364,-0.7966,-0.3736,0.045,0.3688,0.52,0.461,0.0592,0.0118,-0.0686,-0.1442,-0.0568,1
365,-0.727,-0.4136,0.085,0.316,0.4592,0.3446,0.1154,-0.0076,-0.0582,-0.07,-0.0042,1
366,-0.6134,0.0958,0.0386,0.2774,0.1194,-0.4184,-0.6336,-0.7142,-0.842,-0.731,-0.4858,2
367,-0.413,0.1242,0.2994,0.4178,0.0012,-0.4508,-0.6402,-0.6048,-0.5456,-0.5692,-0.4438,2
368,-0.8116,0.0508,0.1074,0.0922,0.017,-0.3484,-0.3296,-0.4538,-0.435,-0.2016,-0.2392,3
369,-0.593,0.0348,0.1324,0.2966,-0.0064,-0.4858,-0.5804,-0.5678,-0.6088,-0.6152,-0.4164,3
370,-0.4576,0.0996,0.0268,0.1854,-0.0054,-0.479,-0.7084,-0.6312,-0.5628,-0.537,-0.2154,4
371,-0.3502,0.2698,0.4606,0.6454,0.1654,-0.5828,-0.5976,-0.5946,-0.678,-0.6542,-0.5588,4
372,-0.6854,-0.1114,0.1454,0.177,-0.2372,-0.515,-0.7484,-0.6462,-0.5412,-0.654,-0.3788,5
373,-0.6778,-0.031,-0.0384,-0.0732,-0.1624,-0.611,-0.6976,-0.6382,-0.6432,-0.6158,-0.658,5
374,-0.6754,-0.2988,0.0714,0.1948,0.6688,0.7012,0.9156,0.8376,0.526,0.4156,0.4806,6
375,-0.772,-0.544,-0.101,-0.0944,0.355,0.759,0.7524,0.5114,0.2768,0.2964,0.3942,6
376,-0.3734,0.3152,0.2998,0.5744,0.265,0.0136,-0.4662,-0.4198,-0.4468,-0.4738,-0.176,7
377,-0.5108,0.0398,0.1284,0.312,-0.0398,-0.263,-0.6086,-0.6208,-0.6178,-0.523,-0.3364,7
378,-0.8028,-0.426,0.0086,0.0724,0.0144,-0.113,-0.1072,-0.2812,-0.3856,-0.3624,-0.3044,8
379,-0.8814,-0.3164,0.452,0.644,0.4406,0.0508,-0.0904,-0.0904,-0.3276,-0.3786,-0.4068,8
380,-0.7426,-0.4386,-0.0878,-0.062,0.235,0.5416,0.6024,0.841,0.8362,0.8644,1,9
381,-0.7396,-0.4792,-0.0374,-0.0394,0.2572,0.6948,0.8036,0.9722,0.874,0.9252,1,9
382,-0.5072,-0.0258,0.8482,1,0.5674,0.0516,0.0488,-0.1204,-0.0688,-0.1834,-0.1518,10
383,-0.5352,-0.0822,0.783,0.8164,0.3206,0.0774,0.1156,0.056,-0.1156,-0.118,0.106,10
384,-0.6512,-0.0912,0.189,0.5376,0.6142,0.7464,0.5536,0.3764,-0.0198,-0.1624,0.0304,11
385,-0.6602,-0.179,0.1686,0.3176,0.5294,0.5372,0.1032,-0.0536,-0.1294,-0.213,-0.1686,11
386,-0.7234,-0.359,-0.0186,0.109,0.5664,0.9602,0.9868,0.657,0.4308,0.4016,0.4202,12
387,-0.6646,-0.3944,0.0244,0.185,0.559,0.87,0.7358,0.6686,0.559,0.4776,0.441,12
388,-0.655,-0.365,0.1052,0.164,0.6152,0.6322,0.691,0.3554,0.2702,0.1678,0.1734,13
389,-0.6398,-0.2288,0.197,0.3878,1,0.945,0.5848,0.394,0.464,0.32,0.2734,13
390,-0.7244,-0.4486,-0.0282,0.0784,0.2516,0.4064,0.332,0.177,-0.1106,-0.163,-0.0382,14
391,-0.6552,-0.2626,0.1052,0.3086,0.7206,0.6764,0.4324,0.259,0.0646,-0.1336,-0.0238,14
392,-0.7082,-0.2658,0.1436,0.3342,0.7788,0.8564,0.6824,0.7364,1,0.88,0.2542,15
393,-0.6268,-0.1144,0.3378,0.4878,1,0.9754,0.7194,0.7766,0.9456,0.763,0.5586,15
394,-0.4206,0.3104,0.1172,0.2828,-0.1586,-0.6138,-0.0344,-0.1586,-0.5034,-0.6138,-0.8344,16
395,-0.3496,-0.2026,-0.3318,-0.2828,-0.519,-0.6792,-0.8352,-0.8486,-0.893,-0.9242,-0.9822,16
396,-0.4026,0.3188,0.2314,0.4644,0.2678,-0.3188,-0.5482,-0.5556,-0.5774,-0.7012,-0.3442,17
397,-0.5238,0.131,0.244,0.5446,0.2946,-0.1072,-0.5148,-0.4762,-0.4316,-0.4792,-0.244,17
398,-0.6534,-0.2482,0.0984,0.2178,0.7612,0.7588,0.794,0.8502,1,0.7588,0.6558,18
399,-0.7408,-0.4352,0.1564,0.2738,0.5232,1,0.9388,0.9486,0.956,0.8778,0.2078,18
400,-0.6382,-0.2698,0.1316,0.204,0.6842,0.8552,1,0.7434,0.5264,0.171,0.1118,19
401,-0.7346,-0.3396,-0.0246,0.0926,0.4568,0.6112,0.7346,0.4814,0.2408,0.142,0.1976,19
402,-0.5268,0.2934,0.2804,-0.0762,-0.1864,-0.303,-0.355,-0.6142,-0.679,-0.5916,-0.637,20
403,-0.648,0.1046,0.1046,0.1638,-0.0766,-0.5436,-0.683,-0.683,-0.7038,-0.6864,-0.4076,20
404,-0.3834,0.1822,0.1244,0.2572,-0.397,-0.6592,-0.7786,-0.7718,-0.7718,-0.6456,-0.5298,21
405,-0.393,0.102,0.1076,0.13,-0.5916,-0.6448,-0.793,-0.7174,-0.8098,-0.821,-0.6,21
406,-0.4736,0.0964,0.2646,0.4546,0.0746,-0.3894,-0.7504,-0.7042,-0.5062,-0.5496,-0.3976,22
407,-0.1382,0.4194,1,0.7972,-0.2534,-0.4608,-0.4102,-0.235,-0.152,-0.258,-0.046,22
408,-0.5188,-0.0348,0.771,0.884,0.5392,0.8028,1,0.7508,0.687,-0.0522,-0.2174,23
409,-0.5382,-0.0116,0.878,1,0.7406,0.764,0.987,0.8392,0.808,0.1854,-0.0532,23
410,-0.6168,-0.2874,-0.0268,-0.0268,0.5326,0.9004,0.9464,0.41,0.387,0.364,0.341,24
411,-0.7132,-0.3284,0.0566,0.1774,0.5018,0.9774,0.9472,0.6076,0.4566,0.3736,0.2982,24
412,-0.5498,0.1608,1,0.9742,0.434,0.2444,0.1126,-0.18,-0.4888,-0.7042,-0.6946,25
413,-0.5148,0.0516,1,0.8216,0.1988,0.6118,0.2488,-0.3552,-0.5744,-0.5932,-0.6682,25
414,-0.533,0.0786,0.1586,0.3908,0.0338,-0.4632,-0.648,-0.6828,-0.6254,-0.6154,-0.3434,26
415,-0.5424,-0.0364,0.2516,0.3696,-0.2152,-0.597,-0.6576,-0.7,-0.6212,-0.5424,-0.3454,26
416,-0.5328,-0.0816,-0.008,0.2832,0.5968,0.7728,0.6416,0.312,0.2032,0.216,0.168,1
417,-0.5474,-0.0058,-0.008,0.392,0.4218,0.8102,0.7852,0.3462,0.3372,0.1542,0.1474,1
418,-0.2786,0.3384,0.3458,0.5888,0.529,0.144,0.1102,0.1028,0.0206,-0.1214,-0.1364,2
419,-0.3294,0.3152,0.3526,0.3928,0.4158,-0.033,0.0792,-0.1338,-0.0504,-0.1972,-0.0044,2
420,-0.4824,0.1902,0.2254,0.4824,0.5634,0.2042,0.2324,0.1198,0.1374,-0.0036,0.0634,3
421,-0.6534,0.307,0.4186,0.3598,0.5008,0.398,0.2512,0.207,0.1718,0.2776,0.0544,3
422,-0.2028,0.418,0.4216,0.672,0.6084,0.2276,0.1322,0.1076,0.037,0.0546,-0.0158,4
423,-0.4568,0.4354,0.5302,0.1246,0.1626,-0.0368,0.2384,0.153,0.1126,0.1316,-0.0628,4
424,-0.5794,0.1406,0.1892,0.4856,0.531,0.1376,0.2224,-0.056,0.0742,-0.171,-0.0258,5
425,-0.6342,0.008,0.0378,0.2624,0.3142,-0.1212,-0.0378,-0.2128,-0.0736,-0.2068,-0.0616,5
426,-0.4104,0.1792,0.194,0.418,0.6642,0.8956,0.888,0.6492,0.4776,0.4328,0.418,6
427,-0.4696,0.0994,0.1104,0.4862,0.558,0.9172,0.9226,0.5856,0.4918,0.315,0.3592,6
428,-0.3866,0.177,0.217,0.6758,0.6408,0.1472,0.0972,0.0274,-0.0224,0.0224,-0.0374,7
429,-0.408,0.2668,0.3068,0.23,0.276,-0.0246,0.0736,-0.135,-0.003,-0.1534,-0.0214,7
430,-0.4756,0.0202,0.245,0.464,0.5504,0.6312,0.4582,0.3776,0.2104,0.17,0.1124,8
431,-0.4386,-0.0302,0.123,0.3874,0.3132,0.4154,0.3178,0.2946,0.1648,0.109,0.0812,8
432,-0.528,0.0696,0.056,0.2428,0.4668,0.5654,0.8336,0.9016,0.8166,0.8574,0.9762,9
433,-0.64,0.047,0.0682,0.2824,0.3436,0.6848,0.7976,0.9058,1,0.9082,1,9
434,-0.263,0.2906,0.5086,0.8062,0.7404,0.647,0.4982,0.3044,0.135,0.2284,0.1314,10
435,-0.4444,0.144,0.1814,0.6996,0.7396,0.3768,0.3942,0.3366,0.3542,0.234,0.2866,10
436,-0.4488,0.3676,0.4102,0.671,0.7606,0.7308,0.8548,0.5384,0.3076,0.1068,0.1538,11
437,-0.3548,0.3964,0.4542,0.6404,0.7432,0.7882,0.9294,0.74,0.5826,0.3194,0.3354,11
438,-0.3766,0.155,0.1456,0.481,0.7816,1,0.864,0.6424,0.3924,0.3766,0.2626,12
439,-0.3986,0.086,0.1432,0.401,0.5824,0.7374,0.7112,0.7684,0.506,0.4988,0.4368,12
440,-0.5602,-0.0984,0.011,0.3606,0.3142,0.582,0.5274,0.511,0.4398,0.3306,0.254,13
441,-0.5324,-0.0448,0.114,0.472,0.434,0.4988,0.4452,0.5504,0.4654,0.387,0.311,13
442,-0.5564,0.052,0.057,0.417,0.3892,0.7008,0.6958,0.4398,0.3662,0.2928,0.2344,14
443,-0.6502,-0.0398,-0.0108,0.3414,0.4066,0.5078,0.5174,0.3944,0.392,0.1822,0.2376,14
444,-0.3096,0.222,0.1962,0.4814,0.679,0.9448,0.974,0.9644,0.8542,0.8444,0.8898,15
445,-0.5012,-0.0126,-0.01,0.3098,0.2796,0.6726,0.67,1,0.9546,0.7154,0.6474,15
446,-0.937,0.4234,0.6172,0.3288,0.5496,0.491,0.099,0.2342,-0.0496,-0.0676,-0.1172,16
447,-0.7684,0.2854,0.3964,0.5008,0.726,0.5432,0.3442,0.2952,0.0538,0.1288,-0.0832,16
448,-0.6122,0.2526,0.3334,0.3536,0.4828,0.196,0.103,-0.0464,0.1314,0.0828,-0.0182,17
449,-0.6066,0.4714,0.5886,0.2582,0.4234,0.3004,0.2582,0.2762,0.069,0.2132,-0.018,17
450,-0.6226,-0.1898,0.0042,0.2494,0.548,0.7058,0.6332,0.7356,0.9232,1,0.7698,18
451,-0.655,0.0684,0.0996,0.3864,0.5006,0.8566,0.8478,1,0.9462,0.9126,0.9172,18
452,-0.4182,0.0234,0.0702,0.3454,0.6052,0.8338,0.7402,0.5012,0.2936,0.3038,0.2988,19
453,-0.4566,0.0924,0.098,0.4846,0.4902,0.8656,0.86,0.451,0.3838,0.2606,0.1932,19
454,-0.497,0.321,0.3888,0.5154,0.5896,0.287,0.2438,0.0802,0.142,0.074,0.0062,20
455,-0.8018,0.3778,0.535,0.2478,0.4256,0.3334,0.0872,0.1214,-0.0394,0.0564,-0.0804,20
456,-0.19,0.3364,0.3146,0.352,0.2804,0.0312,-0.0592,-0.187,-0.2834,-0.056,-0.1806,21
457,-0.092,0.5588,0.4952,0.4572,0.3048,-0.254,-0.4666,-0.346,-0.4572,-0.3492,-0.562,21
458,-0.4166,0.1994,0.222,0.4814,0.4846,0.141,0.1442,-0.0826,-0.0048,-0.0664,-0.0632,22
459,-0.4614,0.286,0.3404,0.6338,0.6672,0.2134,0.286,0.1134,0.2164,-0.05,0.0984,22
460,-0.2506,0.3318,0.246,0.246,0.0926,-0.377,-0.3002,-0.2686,-0.386,-0.3634,-0.4312,23
